wP,wF,wD,S_no_RL,S_RL,equilibrium_pairs,defender_value
0.55,0.4,0.05,0.18929539829757924,0.029403552578156723,dRID:A0,-0.30000000000000004
0.55,0.45,0.0,0.14918500000000004,0.0,dRID:A0,-0.30000000000000004
0.6,0.0,0.4,0.46610318638063375,0.2352284206252538,dRID:AD,-0.5352284206252538
0.6,0.05,0.35,0.4259927880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.6,0.1,0.3,0.3858823897854753,0.17642131546894033,dRID:AD,-0.4764213154689404
0.6,0.15,0.25,0.3457719914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.6,0.2,0.2,0.30566159319031694,0.1176142103126269,dRID:AD,-0.4176142103126269
0.6,0.25,0.15,0.26555119489273765,0.08821065773447016,dRID:A0,-0.30000000000000004
0.6,0.3,0.1,0.22544079659515848,0.05880710515631345,dRID:A0,-0.30000000000000004
0.6,0.35,0.05,0.18533039829757925,0.029403552578156723,dRID:A0,-0.30000000000000004
0.6,0.4,0.0,0.14522000000000002,0.0,dRID:A0,-0.30000000000000004
0.65,0.0,0.35,0.4220277880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.65,0.05,0.3,0.3819173897854753,0.17642131546894033,dRID:AD,-0.4764213154689404
0.65,0.1,0.25,0.3418069914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.65,0.15,0.2,0.30169659319031694,0.1176142103126269,dRID:AD,-0.4176142103126269
0.65,0.2,0.15,0.2615861948927377,0.08821065773447016,dRID:A0,-0.30000000000000004
0.65,0.25,0.1,0.22147579659515848,0.05880710515631345,dRID:A0,-0.30000000000000004
0.65,0.3,0.05,0.18136539829757925,0.029403552578156723,dRID:A0,-0.30000000000000004
0.65,0.35,0.0,0.14125500000000002,0.0,dRID:A0,-0.30000000000000004
0.7,0.0,0.3,0.3779523897854753,0.17642131546894033,dRID:AD,-0.4764213154689404
0.7,0.05,0.25,0.3378419914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.7,0.1,0.2,0.2977315931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.7,0.15,0.15,0.25762119489273766,0.08821065773447016,dRID:A0,-0.30000000000000004
0.7,0.2,0.1,0.21751079659515848,0.05880710515631345,dRID:A0,-0.30000000000000004
0.7,0.25,0.05,0.17740039829757923,0.029403552578156723,dRID:A0,-0.30000000000000004
0.7,0.3,0.0,0.13729000000000002,0.0,dRID:A0,-0.30000000000000004
0.75,0.0,0.25,0.3338769914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.75,0.05,0.2,0.2937665931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.75,0.1,0.15,0.25365619489273766,0.08821065773447016,dRID:A0,-0.30000000000000004
0.75,0.15,0.1,0.2135457965951585,0.05880710515631345,dRID:A0,-0.30000000000000004
0.75,0.2,0.05,0.17343539829757926,0.029403552578156723,dRID:A0,-0.30000000000000004
0.75,0.25,0.0,0.13332500000000003,0.0,dRID:A0,-0.30000000000000004
0.8,0.0,0.2,0.28980159319031695,0.1176142103126269,dRID:AD,-0.4176142103126269
